0 	 0 	 0.00203 	 -0.00203 	 0.00288 	  
0 	 1 	 0.00575 	 -0.00168 	 0.00599 	  
0 	 2 	 0.00847 	 -0.00104 	 0.00853 	  
0 	 3 	 0.00973 	 -0.00022 	 0.00973 	  
0 	 4 	 0.00930 	 0.00064 	 0.00932 	  
0 	 5 	 0.00727 	 0.00139 	 0.00740 	  
0 	 6 	 0.00398 	 0.00190 	 0.00441 	  
0 	 7 	 0.00000 	 0.00208 	 0.00208 	  
0 	 8 	 -0.00398 	 0.00190 	 0.00441 	  
0 	 9 	 -0.00727 	 0.00139 	 0.00740 	  
0 	 10 	 -0.00930 	 0.00064 	 0.00932 	  
0 	 11 	 -0.00973 	 -0.00022 	 0.00973 	  
0 	 12 	 -0.00847 	 -0.00104 	 0.00853 	  
0 	 13 	 -0.00575 	 -0.00168 	 0.00599 	  
0 	 14 	 -0.00203 	 -0.00203 	 0.00288 	  

1 	 0 	 0.00168 	 -0.00575 	 0.00599 	  
1 	 1 	 0.00476 	 -0.00476 	 0.00672 	  
1 	 2 	 0.00701 	 -0.00294 	 0.00760 	  
1 	 3 	 0.00805 	 -0.00061 	 0.00807 	  
1 	 4 	 0.00769 	 0.00182 	 0.00791 	  
1 	 5 	 0.00601 	 0.00393 	 0.00718 	  
1 	 6 	 0.00329 	 0.00537 	 0.00630 	  
1 	 7 	 0.00000 	 0.00588 	 0.00588 	  
1 	 8 	 -0.00329 	 0.00537 	 0.00630 	  
1 	 9 	 -0.00601 	 0.00393 	 0.00718 	  
1 	 10 	 -0.00769 	 0.00182 	 0.00791 	  
1 	 11 	 -0.00805 	 -0.00061 	 0.00807 	  
1 	 12 	 -0.00701 	 -0.00294 	 0.00760 	  
1 	 13 	 -0.00476 	 -0.00476 	 0.00672 	  
1 	 14 	 -0.00168 	 -0.00575 	 0.00599 	  

2 	 0 	 0.00104 	 -0.00847 	 0.00853 	  
2 	 1 	 0.00294 	 -0.00701 	 0.00760 	  
