0 	 0 	 -63.36000 	 -63.36000 	  
0 	 1 	 -63.36000 	 -63.36000 	  
0 	 2 	 316.80000 	 696.96000 	  
0 	 3 	 -63.36000 	 -63.36000 	  
0 	 4 	 -63.36000 	 -63.36000 	  
0 	 5 	 -63.36000 	 -63.36000 	  
0 	 6 	 -63.36000 	 696.96000 	  

1 	 0 	 696.96000 	 -63.36000 	  
1 	 1 	 -63.36000 	 -63.36000 	  
1 	 2 	 -63.36000 	 696.96000 	  
1 	 3 	 696.96000 	 63.36000 	  
1 	 4 	 190.08000 	 190.08000 	  
1 	 5 	 570.24000 	 -63.36000 	  
1 	 6 	 -63.36000 	 -63.36000 	  

2 	 0 	 -63.36000 	 -63.36000 	  
2 	 1 	 -63.36000 	 -63.36000 	  
2 	 2 	 696.96000 	 696.96000 	  
2 	 3 	 696.96000 	 -63.36000 	  
2 	 4 	 -63.36000 	 -63.36000 	  
2 	 5 	 696.96000 	 696.96000 	  
2 	 6 	 -63.36000 	 -63.36000 	  

3 	 0 	 -63.36000 	 -63.36000 	  
3 	 1 	 63.36000 	 570.24000 	  
3 	 2 	 443.52000 	 696.96000 	  
3 	 3 	 -63.36000 	 63.36000 	  
3 	 4 	 570.24000 	 63.36000 	  
3 	 5 	 696.96000 	 570.24000 	  
3 	 6 	 63.36000 	 -63.36000 	  

4 	 0 	 -63.36000 	 443.52000 	  
4 	 1 	 696.96000 	 696.96000 	  
4 	 2 	 443.52000 	 443.52000 	  
4 	 3 	 696.96000 	 443.52000 	  
4 	 4 	 316.80000 	 -63.36000 	  
4 	 5 	 696.96000 	 63.36000 	  
4 	 6 	 696.96000 	 570.24000 	  

5 	 0 	 696.96000 	 63.36000 	  
5 	 1 	 -63.36000 	 -63.36000 	  
5 	 2 	 696.96000 	 696.96000 	  
5 	 3 	 63.36000 	 -63.36000 	  
5 	 4 	 190.08000 	 316.80000 	  
5 	 5 	 -63.36000 	 443.52000 	  
5 	 6 	 696.96000 	 316.80000 	  

6 	 0 	 696.96000 	 696.96000 	  
6 	 1 	 316.80000 	 316.80000 	  
6 	 2 	 190.08000 	 443.52000 	  
6 	 3 	 190.08000 	 443.52000 	  
6 	 4 	 443.52000 	 316.80000 	  
6 	 5 	 696.96000 	 316.80000 	  
6 	 6 	 696.96000 	 696.96000 	  

